"","flat_type","town","ID","Town/Name","Project Name","End of MOP","Launch Date","Year Completed","Total Units","lon","lat","Type","num_of_units","price1"
"598","4-Room","SEMBAWANG","M419","Sembawang","EastLace @ Canberra",2022,"26 Mar 2014",2017,200,103.8291887,1.4465795,"MOP",200,412614.482900439
"599","4-Room","SEMBAWANG","M420","Sembawang","EastBrook @ Canberra",2022,"30 May 2013",2017,627,103.8329686,1.4499034,"MOP",627,412614.482900439
"600","4-Room","SEMBAWANG","M421","Sembawang","Canberra Vista",2029,"11 Feb 2020",2024,385,103.8293357,1.4399446,"MOP",385,412614.482900439
"601","4-Room","SEMBAWANG","M422","Sembawang","Sun Breeze",2023,"25 Nov 2014",2018,306,103.8171695,1.4439364,"MOP",306,412614.482900439
"602","4-Room","SEMBAWANG","M423","Sembawang","Sun Natura",2023,"19 Jul 2014",2018,397,103.813649,1.4468175,"MOP",397,412614.482900439
"603","4-Room","SEMBAWANG","M424","Sembawang","EastCrown @ Canberra",2022,"26 Mar 2014",2017,370,103.8318826,1.444703,"MOP",370,412614.482900439
"604","4-Room","SENGKANG","M425","Sengkang","Fernvale Dew",2027,"22 May 2018",2022,354,103.8701991,1.3898356,"MOP",354,450448.299633076
"605","4-Room","SENGKANG","M426","Sengkang","Rivervale Shores",2027,"01 Aug 2017",2022,678,103.9098991,1.38712,"MOP",678,450448.299633076
"606","4-Room","SENGKANG","M427","Sengkang","Compassvale Boardwalk",2020,"30 May 2012",2015,252,103.8959766,1.3965841,"MOP",252,450448.299633076
"607","4-Room","SENGKANG","M428","Sengkang","Rivervale Delta",2021,"21 Nov 2012",2016,425,103.9087122,1.3899685,"MOP",425,450448.299633076
"608","4-Room","SENGKANG","M429","Sengkang","Fernvale Lea",2020,"12 Jan 2012",2015,600,103.8780162,1.3959613,"MOP",600,450448.299633076
"609","4-Room","SENGKANG","M430","Sengkang","Fernvale Rivergrove",2020,"22 Sep 2011",2015,892,103.8805131,1.3966499,"MOP",892,450448.299633076
"610","4-Room","SENGKANG","M431","Sengkang","Fernvale Woods",2024,"17 Nov 2015",2019,226,103.8709559,1.3913936,"MOP",226,450448.299633076
"611","4-Room","SENGKANG","M432","Sengkang","Compassvale Cape",2021,"21 Mar 2013",2016,588,103.8958944,1.3983812,"MOP",588,450448.299633076
"612","4-Room","SENGKANG","M433","Sengkang","Anchorvale Parkview",2022,"26 Mar 2014",2017,268,103.8896595,1.399153,"MOP",268,450448.299633076
"613","4-Room","SENGKANG","M434","Sengkang","Fernvale Vines",2028,"12 Feb 2019",2023,216,103.8766905,1.3983676,"MOP",216,450448.299633076
"614","4-Room","SENGKANG","M435","Sengkang","Compassvale Mast",2021,"21 Nov 2012",2016,465,103.8941708,1.3904738,"MOP",465,450448.299633076
"616","4-Room","SENGKANG","M436","Sengkang","Fernvale Riverwalk",2022,"30 Jul 2013",2017,401,103.8803066,1.3914157,"MOP",401,450448.299633076
"617","4-Room","SENGKANG","M437","Sengkang","Fernvale Acres",2026,"13 Nov 2018",2021,198,103.8713274,1.389063,"MOP",198,450448.299633076
"618","4-Room","SENGKANG","M438","Sengkang","Anchorvale Fields",2023,"25 Nov 2014",2018,224,103.9018617,1.3855816,"MOP",224,450448.299633076
"619","4-Room","SENGKANG","M439","Sengkang","Fernvale Glades",2026,"14 Nov 2017",2021,390,103.8707038,1.3949256,"MOP",390,450448.299633076
"620","4-Room","SENGKANG","M440","Sengkang","Anchorvale Plains",2025,"24 Feb 2016",2020,260,103.8851063,1.3929584,"MOP",260,450448.299633076
"621","4-Room","SENGKANG","M441","Sengkang","Compassvale Helm",2021,"21 Mar 2013",2016,253,103.8908012,1.3819117,"MOP",253,450448.299633076
"623","4-Room","TAMPINES","M442","Tampines","Tampines GreenBloom",2025,"14 Feb 2017",2020,153,103.9300129,1.3526458,"MOP",153,431791.190035814
"624","4-Room","TAMPINES","M443","Tampines","Tampines GreenForest",2021,"29 Jan 2013",2016,264,103.9291523,1.3508857,"MOP",264,431791.190035814
"625","4-Room","TAMPINES","M444","Tampines","Tampines GreenFoliage",2026,"06 Feb 2018",2021,310,103.943079,1.365855,"MOP",310,431791.190035814
"626","4-Room","TAMPINES","M445","Tampines","Tampines GreenGlade",2028,"12 Aug 2020",2023,179,103.9346015,1.3670023,"MOP",179,431791.190035814
"627","4-Room","TAMPINES","M446","Tampines","Tampines GreenDew",2026,"06 Feb 2018",2021,334,103.9393898,1.3672436,"MOP",334,431791.190035814
"628","4-Room","TAMPINES","M447","Tampines","Tampines GreenSpring",2028,"12 Nov 2019",2023,218,103.9405828,1.3546125,"MOP",218,431791.190035814
"629","4-Room","TAMPINES","M448","Tampines","Tampines Greenlace",2021,"27 Sep 2012",2016,215,103.9313057,1.3567879,"MOP",215,431791.190035814
"630","4-Room","TAMPINES","M449","Tampines","Tampines GreenGlen",2028,"11 Sep 2019",2023,330,103.9483686,1.3554734,"MOP",330,431791.190035814
"631","4-Room","TAMPINES","M450","Tampines","Tampines GreenCourt",2027,"14 Nov 2017",2022,1228,103.9418589,1.363855,"MOP",1228,431791.190035814
"632","4-Room","TAMPINES","M451","Tampines","Tampines GreenView",2024,"17 Aug 2016",2019,395,103.9346505,1.3653478,"MOP",395,431791.190035814
"633","4-Room","TAMPINES","M452","Tampines","Tampines GreenRidges",2024,"25 Nov 2014",2019,740,103.9370231,1.3605525,"MOP",740,431791.190035814
"634","4-Room","TAMPINES","M453","Tampines","Tampines GreenGem",2028,"13 Nov 2018",2023,492,103.9356845,1.3435212,"MOP",492,431791.190035814
"635","4-Room","TAMPINES","M454","Tampines","Tampines GreenCrest",2028,"12 Aug 2020",2023,146,103.9406903,1.3534975,"MOP",146,431791.190035814
"636","4-Room","TAMPINES","M455","Tampines","Tampines GreenWeave",2024,"27 May 2015",2019,465,103.9406903,1.3534975,"MOP",465,431791.190035814
"637","4-Room","TAMPINES","M456","Tampines","Tampines GreenVerge",2026,"17 Aug 2016",2021,1106,103.940028,1.3618271,"MOP",1106,431791.190035814
"638","4-Room","TAMPINES","M457","Tampines","Tampines GreenVines",2027,"22 May 2018",2022,716,103.9447821,1.3655031,"MOP",716,431791.190035814
"639","4-Room","TAMPINES","M458","Tampines","Tampines GreenFlora",2025,"14 Feb 2017",2020,153,103.930882,1.3542245,"MOP",153,431791.190035814
"640","4-Room","TAMPINES","M459","Tampines","Tampines GreenEdge",2022,"25 Nov 2014",2017,198,103.9554444,1.3631229,"MOP",198,431791.190035814
"641","4-Room","TAMPINES","M460","Tampines","Tampines GreenOpal",2030,"12 Aug 2020",2025,546,103.9406903,1.3534975,"MOP",546,431791.190035814
"642","4-Room","TENGAH","M461","Tengah","Plantation Acres",2027,"22 May 2019",2022,287,103.7308145,1.3555189,"MOP",287,510128.6732
"643","4-Room","TENGAH","M462","Tengah","Plantation Village",2028,"12 Nov 2019",2023,484,103.7340544,1.3585237,"MOP",484,510128.6732
"644","4-Room","TENGAH","M463","Tengah","Plantation Grange",2027,"12 Nov 2019",2022,406,103.7308252,1.3554331,"MOP",406,510128.6732
"645","4-Room","TENGAH","M464","Tengah","Garden Vale @ Tengah",2028,"22 May 2019",2023,220,103.7333249,1.3598323,"MOP",220,510128.6732
"646","4-Room","TENGAH","M465","Tengah","Plantation Grove",2028,"13 Nov 2018",2023,536,103.7308145,1.3555189,"MOP",536,510128.6732
"647","4-Room","TENGAH","M466","Tengah","Parc Residences @ Tengah",2030,"12 Aug 2020",2025,281,103.7308145,1.3555189,"MOP",281,510128.6732
"648","4-Room","TENGAH","M467","Tengah","Garden Vines @ Tengah",2028,"12 Nov 2019",2023,201,103.7317692,1.3611945,"MOP",201,510128.6732
"649","4-Room","TOA PAYOH","M468","Toa Payoh","Kim Keat Ripples",2029,"11 Feb 2020",2024,558,103.8585033,1.3335284,"MOP",558,491164.61626802
"650","4-Room","TOA PAYOH","M469","Toa Payoh","Toa Payoh Ridge",2030,"11 Feb 2020",2025,653,103.8433925,1.3390926,"MOP",653,491164.61626802
"651","4-Room","TOA PAYOH","M470","Toa Payoh","Joo Seng Green",2021,"21 Nov 2012",2016,146,103.8797696,1.3340626,"MOP",146,491164.61626802
"652","4-Room","TOA PAYOH","M471","Toa Payoh","Toa Payoh Crest",2022,"21 Nov 2012",2017,464,103.8432735,1.338039,"MOP",464,491164.61626802
"653","4-Room","TOA PAYOH","M472","Toa Payoh","Kim Keat Beacon",2027,"22 May 2018",2022,441,103.85906,1.3321091,"MOP",441,491164.61626802
"654","4-Room","TOA PAYOH","M473","Toa Payoh","Toa Payoh Apex",2023,"19 Jul 2014",2018,419,103.8551512,1.3337813,"MOP",419,491164.61626802
"657","4-Room","WOODLANDS","M474","Woodlands","Admiralty Flora",2022,"22 May 2014",2017,221,103.8060758,1.4401822,"MOP",221,363082.545705798
"658","4-Room","WOODLANDS","M475","Woodlands","Champions Bliss",2029,"12 Aug 2020",2024,199,103.7858113,1.4410489,"MOP",199,363082.545705798
"659","4-Room","WOODLANDS","M476","Woodlands","Admiralty Grove",2022,"26 Nov 2013",2017,333,103.8037955,1.4379932,"MOP",333,363082.545705798
"661","4-Room","WOODLANDS","M477","Woodlands","Woodlands Glen",2022,"22 Jan 2014",2017,408,103.7987432,1.4310337,"MOP",408,363082.545705798
"662","4-Room","WOODLANDS","M478","Woodlands","TreeTrail @ Woodlands",2021,"27 Sep 2012",2016,418,103.793133,1.437782,"MOP",418,363082.545705798
"663","4-Room","WOODLANDS","M479","Woodlands","Woodlands Spring",2025,"18 May 2017",2020,100,103.799673,1.438299,"MOP",100,363082.545705798
"664","4-Room","WOODLANDS","M480","Woodlands","Marsiling Greenview",2023,"22 May 2014",2018,389,103.7765789,1.4351462,"MOP",389,363082.545705798
"666","4-Room","WOODLANDS","M481","Woodlands","UrbanVille @ Woodlands",2031,"12 Aug 2020",2026,507,103.7889597,1.4381922,"MOP",507,363082.545705798
"667","4-Room","WOODLANDS","M482","Woodlands","Champions Green",2028,"22 May 2019",2023,157,103.790016,1.4272453,"MOP",157,363082.545705798
"668","4-Room","WOODLANDS","M483","Woodlands","Woodlands Glade",2026,"06 Feb 2018",2021,164,103.8023954,1.4495841,"MOP",164,363082.545705798
"669","4-Room","WOODLANDS","M484","Woodlands","Marsiling Grove",2027,"18 May 2017",2022,421,103.7745925,1.4367209,"MOP",421,363082.545705798
"670","4-Room","WOODLANDS","M485","Woodlands","Woodlands Pasture I & II",2022,"30 May 2013",2017,509,103.8047285,1.4465516,"MOP",509,363082.545705798
"671","4-Room","YISHUN","M486","Yishun","Forest Spring @ Yishun",2026,"18 May 2017",2021,251,103.8524002,1.4258525,"MOP",251,370088.926683768
"672","4-Room","YISHUN","M487","Yishun","Casa Spring @ Yishun",2026,"22 May 2018",2021,312,103.8501402,1.4257168,"MOP",312,370088.926683768
"673","4-Room","YISHUN","M488","Yishun","Park Grove @ Yishun",2022,"19 Jul 2014",2017,204,103.8434644,1.4215242,"MOP",204,370088.926683768
"674","4-Room","YISHUN","M489","Yishun","Vine Grove @ Yishun",2021,"30 Jul 2013",2016,324,103.8413116,1.4188334,"MOP",324,370088.926683768
"675","4-Room","YISHUN","M490","Yishun","Blossom Spring @ Yishun",2023,"25 Nov 2014",2018,260,103.8502523,1.4272274,"MOP",260,370088.926683768
"676","4-Room","YISHUN","M491","Yishun","Palm Breeze @ Yishun",2021,"26 Sep 2013",2016,274,103.8400963,1.4165297,"MOP",274,370088.926683768
"677","4-Room","YISHUN","M492","Yishun","Melody Spring @ Yishun 2",2025,"13 Nov 2018",2020,252,103.8540588,1.4266597,"MOP",252,370088.926683768
"678","4-Room","YISHUN","M493","Yishun","Valley Spring @ Yishun",2025,"17 Aug 2016",2020,308,103.8513727,1.4288169,"MOP",308,370088.926683768
"679","4-Room","YISHUN","M494","Yishun","Fern Grove @ Yishun",2022,"26 Mar 2014",2017,443,103.8420054,1.4205609,"MOP",443,370088.926683768
"681","4-Room","YISHUN","M495","Yishun","Meadow Spring @ Yishun",2023,"25 Nov 2014",2018,210,103.8524679,1.4249349,"MOP",210,370088.926683768
"682","4-Room","YISHUN","M496","Yishun","Oleander Breeze @ Yishun",2021,"29 Jan 2013",2016,348,103.841643,1.4155753,"MOP",348,370088.926683768
"683","4-Room","YISHUN","M497","Yishun","Saraca Breeze @ Yishun",2022,"26 Sep 2013",2017,168,103.8443098,1.4158811,"MOP",168,370088.926683768
"684","4-Room","YISHUN","M498","Yishun","Acacia Breeze",2020,"24 Nov 2011",2015,418,103.843994,1.4193772,"MOP",418,370088.926683768
"685","4-Room","YISHUN","M499","Yishun","Yishun Glen",2027,"28 Aug 2018",2022,490,103.846063,1.4301457,"MOP",490,370088.926683768
"686","4-Room","YISHUN","M500","Yishun","Melody Spring @ Yishun 1",2026,"28 Aug 2018",2021,252,103.8540588,1.4266597,"MOP",252,370088.926683768
"687","4-Room","YISHUN","M501","Yishun","Angsana Breeze @ Yishun",2022,"30 Jul 2013",2017,520,103.8393106,1.4142876,"MOP",520,370088.926683768
"688","5-Room","ANG MO KIO","M502","Ang Mo Kio","Kebun Baru Court",2022,"29 Jan 2013",2017,103,103.8344757,1.3688977,"MOP",103,645817.586092153
"689","5-Room","ANG MO KIO","M503","Ang Mo Kio","Kebun Baru Edge",2030,"12 Aug 2020",2025,140,103.8345568,1.3703801,"MOP",140,645817.586092153
"691","5-Room","ANG MO KIO","M504","Ang Mo Kio","Teck Ghee Parkview",2022,"27 Sep 2012",2017,190,103.8572746,1.3685704,"MOP",190,645817.586092153
"693","5-Room","ANG MO KIO","M505","Ang Mo Kio","Ang Mo Kio Court",2025,"24 May 2016",2020,148,103.840314,1.3682685,"MOP",148,645817.586092153
"696","5-Room","BEDOK","M506","Bedok","Fengshan GreenVille",2023,"21 Nov 2012",2018,108,103.9413278,1.3316628,"MOP",108,590173.600370676
"699","5-Room","BEDOK","M507","Bedok","Bedok South Horizon",2026,"22 Nov 2016",2021,274,103.947097,1.3181586,"MOP",274,590173.600370676
"700","5-Room","BIDADARI","M508","Bidadari","Alkaff Vista",2024,"17 Nov 2015",2019,151,103.8714553,1.3339626,"MOP",151,759509.9548
"701","5-Room","BIDADARI","M509","Bidadari","Alkaff Oasis",2025,"24 Feb 2016",2020,165,103.8727282,1.3346028,"MOP",165,759509.9548
"704","5-Room","BIDADARI","M510","Bidadari","Woodleigh Hillside",2027,"18 May 2017",2022,326,103.875035,1.3425497,"MOP",326,759509.9548
"709","5-Room","BUKIT BATOK","M511","Bukit Batok","West Rock @ Bukit Batok",2023,"11 Feb 2015",2018,172,103.7402898,1.355182,"MOP",172,574959.980058394
"711","5-Room","BUKIT BATOK","M512","Bukit Batok","West Ridges @ Bukit Batok",2023,"26 Nov 2013",2018,550,103.7385589,1.3558015,"MOP",550,574959.980058394
"712","5-Room","BUKIT BATOK","M513","Bukit Batok","West Edge @ Bukit Batok",2024,"11 Feb 2015",2019,212,103.7399914,1.3590445,"MOP",212,574959.980058394
"713","5-Room","BUKIT BATOK","M514","Bukit Batok","SkyPeak @ Bukit Batok",2022,"21 Mar 2013",2017,430,103.7546414,1.3447804,"MOP",430,574959.980058394
"714","5-Room","BUKIT BATOK","M515","Bukit Batok","Skyline I @ Bukit Batok",2021,"28 Mar 2012",2016,194,103.7454697,1.344939,"MOP",194,574959.980058394
"715","5-Room","BUKIT BATOK","M516","Bukit Batok","West Crest @ Bukit Batok",2022,"22 May 2014",2017,189,103.739209,1.3509816,"MOP",189,574959.980058394
"716","5-Room","BUKIT BATOK","M517","Bukit Batok","West Scape",2026,"01 Aug 2017",2021,178,103.742288,1.3620166,"MOP",178,574959.980058394
"717","5-Room","BUKIT BATOK","M518","Bukit Batok","West Terra & Bukit Batok",2023,"24 Sep 2014",2018,454,103.7420189,1.3522808,"MOP",454,574959.980058394
"719","5-Room","BUKIT BATOK","M519","Bukit Batok","Skyline II @ Bukit Batok",2022,"28 Mar 2012",2017,307,103.7480459,1.3437583,"MOP",307,574959.980058394
"720","5-Room","BUKIT BATOK","M520","Bukit Batok","West Plains @ Bukit Batok",2025,"24 Feb 2016",2020,384,103.7422631,1.3580589,"MOP",384,574959.980058394
"725","5-Room","BUKIT PANJANG","M521","Bukit Panjang","Senja Ridges",2026,"24 May 2016",2021,62,103.761881,1.380845,"MOP",62,509287.053486049
"727","5-Room","BUKIT PANJANG","M522","Bukit Panjang","Fajar Hills",2020,"28 Mar 2012",2015,324,103.7708612,1.3810669,"MOP",324,509287.053486049
"728","5-Room","BUKIT PANJANG","M523","Bukit Panjang","Senja Valley",2026,"24 May 2016",2021,79,103.7634149,1.3885828,"MOP",79,509287.053486049
"730","5-Room","CHOA CHU KANG","M524","Choa Chu Kang","Keat Hong Axis",2021,"31 Jul 2012",2016,372,103.7448487,1.375306,"MOP",372,478833.720754571
"732","5-Room","CHOA CHU KANG","M525","Choa Chu Kang","Keat Hong Colours",2021,"29 Jan 2013",2016,348,103.7460476,1.3734679,"MOP",348,478833.720754571
"733","5-Room","CHOA CHU KANG","M526","Choa Chu Kang","Keat Kong Mirage",2021,"21 Nov 2012",2016,486,103.749297,1.3766345,"MOP",486,478833.720754571
"734","5-Room","CHOA CHU KANG","M527","Choa Chu Kang","Sunshine Gardens",2020,"12 Jan 2012",2015,518,103.7402665,1.3763898,"MOP",518,478833.720754571
"735","5-Room","CHOA CHU KANG","M528","Choa Chu Kang","Keat Hong Crest",2022,"30 May 2013",2017,208,103.7433614,1.3744888,"MOP",208,478833.720754571
"736","5-Room","CHOA CHU KANG","M529","Choa Chu Kang","Keat Hong Quad",2021,"27 Sep 2012",2016,190,103.7465288,1.376422,"MOP",190,478833.720754571
"738","5-Room","CHOA CHU KANG","M530","Choa Chu Kang","Keat Hong Pride",2021,"30 May 2012",2016,407,103.7423207,1.3729806,"MOP",407,478833.720754571
"741","5-Room","CLEMENTI","M531","Clementi","Clementi Ridges",2021,"28 Mar 2012",2016,216,103.7645932,1.3195866,"MOP",216,614812.477800971
"742","5-Room","CLEMENTI","M532","Clementi","Clementi Peaks",2027,"14 Feb 2017",2022,117,103.7680058,1.3107835,"MOP",117,614812.477800971
"743","5-Room","CLEMENTI","M533","Clementi","Clementi NorthArc",2027,"14 Feb 2017",2022,404,103.7621079,1.323519,"MOP",404,614812.477800971
"744","5-Room","CLEMENTI","M534","Clementi","Clementi Crest",2025,"27 May 2015",2020,156,103.7639162,1.3133352,"MOP",156,614812.477800971
"755","5-Room","HOUGANG","M535","Hougang","Hougang ParkEdge",2021,"29 Jan 2013",2016,238,103.9006596,1.3763946,"MOP",238,516812.083845877
"756","5-Room","HOUGANG","M536","Hougang","Capeview",2020,"24 Nov 2011",2015,244,103.9040751,1.3792987,"MOP",244,516812.083845877
"761","5-Room","HOUGANG","M537","Hougang","Buangkok Edgeview",2022,"24 Sep 2014",2017,179,103.8811592,1.3847847,"MOP",179,516812.083845877
"763","5-Room","HOUGANG","M538","Hougang","Hougang RiverCourt",2025,"17 Nov 2015",2020,83,103.8946885,1.3626123,"MOP",83,516812.083845877
"768","5-Room","JURONG WEST","M539","Jurong West","Boon Lay Glade",2027,"12 Feb 2019",2022,97,103.6936205,1.3354284,"MOP",97,491255.670239681
"769","5-Room","JURONG WEST","M540","Jurong West","Jurong West Jewel",2027,"12 Feb 2019",2022,153,103.6936205,1.3354284,"MOP",153,491255.670239681
"770","5-Room","JURONG WEST","M541","Jurong West","Boon Lay View",2022,"26 Nov 2013",2017,252,103.7109866,1.3504655,"MOP",252,491255.670239681
"772","5-Room","JURONG WEST","M542","Jurong West","Yung Kuang Court",2022,"26 Nov 2013",2017,226,103.7214902,1.3314879,"MOP",226,491255.670239681
"783","5-Room","PASIR RIS","M543","Pasir Ris","Costa Grove",2030,"12 Aug 2020",2025,325,103.9472922,1.3773575,"MOP",325,506802.403823087
"784","5-Room","PUNGGOL","M544","Punggol","Punggol Point Crown",2028,"11 Sep 2019",2023,230,103.9110284,1.4193302,"MOP",230,523159.806982215
"785","5-Room","PUNGGOL","M545","Punggol","Waterway Terraces II",2020,"25 Apr 2011",2015,246,103.9007848,1.4093609,"MOP",246,523159.806982215
"786","5-Room","PUNGGOL","M546","Punggol","Matilda Sundeck",2025,"22 Nov 2016",2020,195,103.8921881,1.4028105,"MOP",195,523159.806982215
"788","5-Room","PUNGGOL","M547","Punggol","Waterway Woodcress",2020,"22 Sep 2011",2015,244,103.909202,1.4059811,"MOP",244,523159.806982215
"789","5-Room","PUNGGOL","M548","Punggol","Punggol Topaz",2020,"22 Dec 2010",2015,284,103.8962771,1.4048583,"MOP",284,523159.806982215
"790","5-Room","PUNGGOL","M549","Punggol","Northshore Cove",2026,"14 Feb 2017",2021,170,103.9062482,1.4199116,"MOP",170,523159.806982215
"792","5-Room","PUNGGOL","M550","Punggol","Northshore StraitsView",2025,"17 Nov 2015",2020,190,103.9022587,1.4160392,"MOP",190,523159.806982215
"793","5-Room","PUNGGOL","M551","Punggol","Waterway View",2022,"26 Sep 2013",2017,341,103.9162668,1.4034847,"MOP",341,523159.806982215
"794","5-Room","PUNGGOL","M552","Punggol","Waterway Sunbeam",2020,"12 Jan 2012",2015,216,103.9172233,1.3995851,"MOP",216,523159.806982215
"795","5-Room","PUNGGOL","M553","Punggol","Northshore Residences I",2025,"27 May 2015",2020,89,103.9016318,1.4162076,"MOP",89,523159.806982215
"796","5-Room","PUNGGOL","M554","Punggol","Punggol Point Cove",2029,"11 Sep 2019",2024,173,103.9110284,1.4193302,"MOP",173,523159.806982215
"797","5-Room","PUNGGOL","M555","Punggol","Punggol Edge",2021,"30 May 2012",2016,160,103.9093692,1.3940868,"MOP",160,523159.806982215
"798","5-Room","PUNGGOL","M556","Punggol","Waterway Brooks",2020,"22 Sep 2011",2015,465,103.909202,1.4059811,"MOP",465,523159.806982215
"800","5-Room","PUNGGOL","M557","Punggol","Waterway Cascadia",2021,"31 Jul 2012",2016,267,103.8971675,1.4089818,"MOP",267,523159.806982215
