,Schools,lon,lat
1,Admiralty Primary School,103.8004349,1.4430507
2,Ahmad Ibrahim Primary School,103.8330381,1.4337487
3,Ai Tong School,103.832615,1.360415
4,Alexandra Primary School,103.8235297,1.2912968
5,Anchor Green Primary School,103.8874074,1.3909254
6,Anderson Primary School,103.841225,1.384692
7,Ang Mo Kio Primary School,103.839815,1.3693469
8,Anglo-Chinese School (Junior),103.841643,1.3093609
9,Anglo-Chinese School (Primary),103.8351774,1.3186587
10,Angsana Primary School,103.951859,1.348251
11,Beacon Primary School,103.77377,1.384235
12,Bedok Green Primary School,103.9380502,1.3237397
13,Bendemeer Primary School,103.8652706,1.3219582
14,Blangah Rise Primary School,103.8084074,1.2762766
15,Boon Lay Garden Primary School,103.712983,1.34287
16,Bukit Panjang Primary School,103.7692713,1.372936
17,Bukit Timah Primary School,103.766768,1.337385
18,Bukit View Primary School,103.75348,1.3459352
19,Canberra Primary School,103.8156488,1.4511784
20,Canossa Catholic Primary School,103.8822789,1.3261933
21,Cantonment Primary School,103.8400126,1.2754392
22,Casuarina Primary School,103.9570205,1.3725006
23,Cedar Primary School,103.8754605,1.3356131
24,Changkat Primary School,103.9521967,1.3401906
25,CHIJ (Katong) Primary,103.9109552,1.3064102
26,CHIJ (Kellock),103.8279734,1.2749325
27,CHIJ Our Lady Of Good Counsel,103.863998,1.35732
28,CHIJ Our Lady Of The Nativity,103.898088,1.372971
29,CHIJ Our Lady Queen Of Peace,103.767594,1.366297
30,CHIJ (Toa Payoh) Primary,103.841908,1.333107
31,Chongfu School,103.839285,1.438563
32,Chongzheng Primary School,103.951438,1.350835
33,Chua Chu Kang Primary School,103.7417264,1.3780073
34,Clementi Primary School,103.7632163,1.3155074
35,Compassvale Primary School,103.898003,1.3944615
36,Concord Primary School,103.736341,1.3803739
37,Corporation Primary School,103.707576,1.351499
38,Damai Primary School,103.9202895,1.3358357
39,Dazhong Primary School,103.7485279,1.359
40,De La Salle School,103.7435172,1.3947804
41,East Spring Primary School,103.9617985,1.353454
42,Edgefield Primary School,103.9076926,1.4004367
43,Elias Park Primary School,103.9452385,1.3749538
44,Endeavour Primary School,103.81746,1.4541039
45,Eunos Primary School,103.904727,1.324223
46,Evergreen Primary School,103.795038,1.444082
47,Fairfield Methodist School (Primary),103.785809,1.3007439
48,Farrer Park Primary School,103.850792,1.3123088
49,Fengshan Primary School,103.9318916,1.3299176
50,Fern Green Primary School,103.8798637,1.3975315
51,Fernvale Primary School,103.873919,1.389948
52,First Toa Payoh Primary School,103.855651,1.340145
53,Frontier Primary School,103.6990865,1.3365813
54,Fuchun Primary School,103.778088,1.4302
55,Fuhua Primary School,103.7363383,1.3366744
56,Gan Eng Seng Primary School,103.8153327,1.2858277
57,Geylang Methodist School (Primary),103.882915,1.3179179
58,Gongshang Primary School,103.948893,1.357339
59,Greendale Primary School,103.9126762,1.396398
60,Greenridge Primary School,103.7679301,1.3856591
61,Greenwood Primary School,103.804609,1.43985
62,Guangyang Primary School,103.849315,1.345887
63,Haig Girls' School,103.9026249,1.3115593
64,Henry Park Primary School,103.784132,1.3168709
65,Holy Innocents' Primary School,103.893711,1.366573
66,Hong Wen School,103.8576768,1.3219278
67,Horizon Primary School,103.913058,1.400025
68,Hougang Primary School,103.881046,1.37734
69,Huamin Primary School,103.8442699,1.4269293
70,Innova Primary School,103.790631,1.428957
71,Jiemin Primary School,103.830502,1.4276007
72,Jing Shan Primary School,103.851863,1.3714789
73,Junyuan Primary School,103.940012,1.347973
74,Jurong Primary School,103.732992,1.348679
75,Jurong West Primary School,103.698854,1.339037
76,Juying Primary School,103.688061,1.33837
77,Keming Primary School,103.7562455,1.3454147
78,Kheng Cheng School,103.847796,1.337666
79,Kong Hwa School,103.8878503,1.311
80,Kranji Primary School,103.7477849,1.393694
81,Kuo Chuan Presbyterian Primary School,103.854727,1.349116
82,Lakeside Primary School,103.7186816,1.3387756
83,Lianhua Primary School,103.754202,1.354143
84,Maha Bodhi School,103.9015463,1.328413
85,Marsiling Primary School,103.773663,1.433827
86,Marymount Convent School,103.8393785,1.3397452
87,Mayflower Primary School,103.8357985,1.3762339
88,Mee Toh School,103.9089333,1.3947729
89,Meridian Primary School,103.9352454,1.3762378
90,Methodist Girls' School (Primary),103.782566,1.332954
91,Montfort Junior School,103.889614,1.373864
92,Nan Chiau Primary School,103.890834,1.391841
93,Nan Hua Primary School,103.761412,1.3196188
94,Nanyang Primary School,103.8077117,1.3210855
95,Naval Base Primary School,103.8387445,1.4163264
96,New Town Primary School,103.7998822,1.2999119
97,Ngee Ann Primary School,103.9181149,1.3055653
98,North Spring Primary School,103.9036094,1.3868822
99,North View Primary School,103.8485274,1.4277102
100,North Vista Primary School,103.8960478,1.3828084
101,Northland Primary School,103.8405561,1.4210098
102,Northoaks Primary School,103.813826,1.456638
103,Oasis Primary School,103.9109619,1.404288
104,Opera Estate Primary School,103.9236436,1.3195034
105,Palm View Primary School,103.8907953,1.3839074
106,Park View Primary School,103.939371,1.377331
107,Pasir Ris Primary School,103.9628003,1.3722117
108,Paya Lebar Methodist Girls' School (Primary),103.884813,1.351003
109,Pei Chun Public School,103.855655,1.3371116
110,Pei Hwa Presbyterian Primary School,103.77613,1.338081
111,Pei Tong Primary School,103.767568,1.3160707
112,Peiying Primary School,103.8302303,1.4174051
113,Pioneer Primary School,103.6946147,1.3485344
114,Poi Ching School,103.9352454,1.3577836
115,Princess Elizabeth Primary School,103.74102,1.349481
116,Punggol Cove Primary School,103.89861,1.4116904
117,Punggol Green Primary School,103.8986304,1.4019576
118,Punggol Primary School,103.894746,1.37819
119,Punggol View Primary School,103.9051798,1.4052956
120,Qifa Primary School,103.7568857,1.3126176
121,Qihua Primary School,103.788557,1.442105
122,Queenstown Primary School,103.8076794,1.2958718
123,Radin Mas Primary School,103.8240741,1.275094
124,Raffles Girls' Primary School,103.8068785,1.3300863
125,Red Swastika School,103.9346109,1.3332677
126,River Valley Primary School,103.8362883,1.2938988
127,Riverside Primary School,103.8017548,1.4472565
128,Rivervale Primary School,103.904383,1.393196
129,Rosyth School,103.8748903,1.3729334
130,Rulang Primary School,103.7188844,1.3460661
131,Sembawang Primary School,103.8211733,1.4454915
132,Seng Kang Primary School,103.899471,1.389086
133,Sengkang Green Primary School,103.8753898,1.392548
134,Shuqun Primary School,103.7215779,1.347595
135,Si Ling Primary School,103.78577,1.432693
136,Singapore Chinese Girls' Primary School,103.8283283,1.3212164
137,South View Primary School,103.747145,1.381324
138,Springdale Primary School,103.8897326,1.3949665
139,St. Andrew's Junior School,103.8652089,1.331468
140,St. Anthony's Canossian Primary School,103.941072,1.334282
141,St. Anthony's Primary School,103.7490186,1.3642757
142,St. Gabriel's Primary School,103.8620253,1.3497182
143,St. Hilda's Primary School,103.936605,1.3492104
144,St. Joseph's Institution Junior,103.8459004,1.317458
145,St. Margaret's Primary School,103.881867,1.3246436
146,St. Stephen's School,103.9175727,1.3188814
147,Stamford Primary School,103.8572692,1.304116
148,Tampines North Primary School,103.948581,1.360298
149,Tampines Primary School,103.94402,1.349774
150,Tanjong Katong Primary School,103.9388712,1.3243906
151,Tao Nan School,103.9113177,1.3049455
152,Teck Ghee Primary School,103.8506032,1.3653954
153,Teck Whye Primary School,103.753548,1.383126
154,Telok Kurau Primary School,103.9114083,1.3309135
155,Temasek Primary School,103.945488,1.317502
156,Townsville Primary School,103.8537829,1.3600534
157,Unity Primary School,103.74729,1.403245
158,Valour Primary School,103.89861,1.4116904
159,Waterway Primary School,103.9186176,1.3991315
160,Wellington Primary School,103.8222601,1.4519448
161,West Grove Primary School,103.698987,1.34455
162,West Spring Primary School,103.7652356,1.3895049
163,West View Primary School,103.759692,1.3835817
164,Westwood Primary School,103.7003201,1.3475751
165,White Sands Primary School,103.9612985,1.3649338
166,Woodgrove Primary School,103.7904291,1.4331667
167,Woodlands Primary School,103.791794,1.436771
168,Woodlands Ring Primary School,103.797928,1.434839
169,Xinghua Primary School,103.8901506,1.3578717
170,Xingnan Primary School,103.68778,1.34283
171,Xinmin Primary School,103.8830289,1.371069
172,Xishan Primary School,103.8378387,1.4334989
173,Yangzheng Primary School,103.8682765,1.3488764
174,Yew Tee Primary School,103.751221,1.396985
175,Yio Chu Kang Primary School,103.885447,1.3777919
176,Yishun Primary School,103.834125,1.4334484
177,Yuhua Primary School,103.7406829,1.3428019
178,Yumin Primary School,103.9507462,1.3514701
179,Zhangde Primary School,103.8260335,1.2843455
180,Zhenghua Primary School,103.769301,1.37957
181,Zhonghua Primary School,103.869558,1.359895
182,Catholic High School,103.8454488,1.3551578
183,CHIJ St. Nicholas Girls' School,103.834125,1.3736139
184,Maris Stella High School,103.8782839,1.341737